 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date: ***.**.    Time: ***:**:**
 Units: L = mm   , T = hours, M = M    


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  46   -45.0000     -31.805 0.2099   0.4648E-01  0.2377E-02 -0.1048E-02  0.0000E+00      -1  -0.349E-03   20.00  0.8051E+00  0.0000E+00
  47   -46.0000     -30.825 0.2121   0.4930E-01  0.2446E-02 -0.8215E-03  0.0000E+00      -1  -0.274E-03   20.00  0.6695E+00  0.0000E+00
  48   -47.0000     -29.839 0.2143   0.5212E-01  0.2515E-02 -0.5854E-03  0.0000E+00      -1  -0.195E-03   20.00  0.5658E+00  0.0000E+00
  49   -48.0000     -28.847 0.2171   0.5789E-01  0.2607E-02 -0.3105E-03  0.0000E+00      -1  -0.104E-03   20.00  0.5009E+00  0.0000E+00
  50   -49.0000     -27.850 0.2199   0.6369E-01  0.2701E-02 -0.1558E-03  0.0000E+00      -1  -0.519E-04   20.00  0.5009E+00  0.0000E+00
end


 Time:        2.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000     -76.896 0.1486   0.4600E-02  0.7827E-03  0.1428E-07  0.0000E+00      -1   0.476E-08   20.00  0.8635E+01  0.0000E+00
   2    -1.0000     -75.869 0.1493   0.4717E-02  0.7946E-03  0.2465E-03  0.0000E+00      -1   0.822E-04   20.00  0.7712E+01  0.0000E+00
   3    -2.0000     -74.793 0.1502   0.4969E-02  0.8136E-03  0.5243E-03  0.0000E+00      -1   0.175E-03   20.00  0.6735E+01  0.0000E+00
   4    -3.0000     -73.660 0.1513   0.5270E-02  0.8355E-03  0.8141E-03  0.0000E+00      -1   0.271E-03   20.00  0.5780E+01  0.0000E+00
   5    -4.0000     -72.485 0.1524   0.5581E-02  0.8582E-03  0.1053E-02  0.0000E+00      -1   0.351E-03   20.00  0.4876E+01  0.0000E+00
   6    -5.0000     -71.283 0.1535   0.5901E-02  0.8814E-03  0.1233E-02  0.0000E+00      -1   0.411E-03   20.00  0.4031E+01  0.0000E+00
   7    -6.0000     -70.068 0.1546   0.6223E-02  0.9048E-03  0.1351E-02  0.0000E+00      -1   0.450E-03   20.00  0.3249E+01  0.0000E+00
   8    -7.0000     -68.850 0.1558   0.6547E-02  0.9284E-03  0.1410E-02  0.0000E+00      -1   0.470E-03   20.00  0.2549E+01  0.0000E+00
   9    -8.0000     -67.637 0.1569   0.6869E-02  0.9518E-03  0.1418E-02  0.0000E+00      -1   0.473E-03   20.00  0.1941E+01  0.0000E+00
  10    -9.0000     -66.436 0.1580   0.7188E-02  0.9750E-03  0.1382E-02  0.0000E+00      -1   0.461E-03   20.00  0.1436E+01  0.0000E+00
  11   -10.0000     -65.252 0.1592   0.7503E-02  0.9979E-03  0.1311E-02  0.0000E+00      -1   0.437E-03   20.00  0.1034E+01  0.0000E+00
