 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date:   0. 0.    Time:   1:**:24
 Units: L = mm   , T = hours, M = M    


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
    0.2340000E+03   0.5146E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2345000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2346667E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2348333E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2350000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2352000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2354000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2355500E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2356625E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2358313E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2359156E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2360000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2361250E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2363000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2365333E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2367667E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2370000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2373333E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2380000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2385000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2390000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2400000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2410000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2420000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2430000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2440000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450100E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450170E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450219E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450268E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450317E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450366E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450415E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450479E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450542E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450606E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450689E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450772E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450879E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2450987E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2451095E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2451235E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2451375E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2451515E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2451696E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2451878E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2452060E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2452242E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2452479E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2452715E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2452952E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2453259E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2453567E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2453874E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2454182E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2454581E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2454981E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2455381E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2455781E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2456180E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2456562E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2456992E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2457422E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2457851E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2458281E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2458711E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2459141E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2459570E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2460000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2460462E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2460924E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2461386E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2461987E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2462588E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2463189E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2463945E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2464955E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2465964E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2467286E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2468643E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2470000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2471667E+03   0.7543E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2473662E+03   0.9077E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2475774E+03   0.1073E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2477887E+03   0.1244E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2480000E+03   0.1416E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2482930E+03   0.1543E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2486228E+03   0.1543E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2488114E+03   0.1550E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2490000E+03   0.1556E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2494152E+03   0.1562E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2497076E+03   0.1570E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2500000E+03   0.1576E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2505000E+03   0.1582E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2510000E+03   0.1545E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2515000E+03   0.1449E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2520000E+03   0.1320E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2525000E+03   0.1180E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2530000E+03   0.1046E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2535000E+03   0.9243E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2540000E+03   0.8397E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2541667E+03   0.1240E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2542222E+03   0.1435E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2542611E+03   0.1419E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2542741E+03   0.1482E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2542909E+03   0.1441E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2542965E+03   0.1500E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2543022E+03   0.1502E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2543078E+03   0.1506E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2543151E+03   0.1506E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2543246E+03   0.1443E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2543369E+03   0.1425E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2543530E+03   0.1422E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2543738E+03   0.1368E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2544009E+03   0.1319E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2544362E+03   0.1308E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2544820E+03   0.1243E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2545396E+03   0.1194E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2546163E+03   0.1129E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2547122E+03   0.1054E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2548561E+03   0.9393E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2550000E+03   0.9280E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2551667E+03   0.8547E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2553750E+03   0.7734E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2556875E+03   0.6494E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2560000E+03   0.6643E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2563333E+03   0.6276E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2566667E+03   0.6148E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2570000E+03   0.5976E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2573333E+03   0.5806E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2580000E+03   0.3542E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2585000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2590000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2592500E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2594375E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2596250E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2598125E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2600000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2602000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2604667E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2610000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2613333E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2620000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2625000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2630000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2640000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2650000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2660000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2670000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2680000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690100E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690170E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690219E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690268E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690317E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690366E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690415E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690479E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690542E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690625E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690708E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690791E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2690898E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2691006E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2691114E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2691254E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2691394E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2691534E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2691716E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2691898E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2692079E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2692316E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2692552E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2692789E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2693025E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2693333E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2693640E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2693948E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2694255E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2694655E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2695055E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2695454E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2695854E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2696269E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2696683E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2697128E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2697576E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2698027E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2698480E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2698936E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2699394E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2699697E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2700000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2700462E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2700924E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2701387E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2701987E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2702588E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2703189E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2703946E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2704955E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2705964E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2707285E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2708642E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2710000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2711667E+03   0.7586E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2713658E+03   0.9132E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2715772E+03   0.1080E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2717886E+03   0.1252E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2720000E+03   0.1425E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2722922E+03   0.1559E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2726209E+03   0.1560E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2728104E+03   0.1567E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2730000E+03   0.1573E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2734136E+03   0.1579E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2737068E+03   0.1588E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2740000E+03   0.1593E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2745000E+03   0.1600E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2750000E+03   0.1563E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2755000E+03   0.1466E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2760000E+03   0.1334E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2765000E+03   0.1191E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2770000E+03   0.1054E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2775000E+03   0.9293E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2780000E+03   0.8432E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2781667E+03   0.1244E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2782222E+03   0.1431E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2782944E+03   0.1326E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2783826E+03   0.1196E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2783872E+03   0.1510E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2783932E+03   0.1511E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2784009E+03   0.1525E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2784109E+03   0.1451E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2784240E+03   0.1455E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2784410E+03   0.1380E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2784630E+03   0.1352E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2784917E+03   0.1317E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2785290E+03   0.1249E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2785761E+03   0.1216E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2786367E+03   0.1137E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2787275E+03   0.1037E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2788183E+03   0.1035E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.2790000E+03   0.8445E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2791667E+03   0.8613E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2793333E+03   0.8421E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2795000E+03   0.8259E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2797500E+03   0.6777E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2800000E+03   0.6886E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2802500E+03   0.6760E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2805000E+03   0.6639E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2807500E+03   0.6454E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2810000E+03   0.6256E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2813333E+03   0.5294E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2820000E+03   0.3524E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2825000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2826667E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2828333E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2830000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2831429E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2832857E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2833452E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2834271E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2835226E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2836419E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2838210E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2840000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2841667E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2843750E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2846875E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2850000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2853333E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2860000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2865000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2870000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2880000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2890000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2900000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2910000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2920000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930100E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930170E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930219E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930268E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930317E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930366E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930415E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930479E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930542E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930625E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930708E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930791E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930898E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2931006E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2931114E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2931254E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2931394E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2931534E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2931716E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2931898E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2932079E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2932316E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2932552E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2932789E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2933025E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2933333E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2933640E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2933948E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2934255E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2934655E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2935055E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2935454E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2935854E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2936269E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2936683E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2937128E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2937576E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2938027E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2938480E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2938936E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2939394E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2939697E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2940000E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2940462E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2940924E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2941387E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2941987E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2942588E+03   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
