 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date:   0. 0.    Time:   1:**:24
 Units: L = mm   , T = hours, M = M    


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  198     19.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  199     19.80     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  200     19.90     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  201     20.00     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  202     20.10     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  203     20.20     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  204     20.30     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  205     20.40     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  206     20.50     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  207     20.60     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  208     20.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  209     20.80     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  210     20.90     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  211     21.00     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  212     21.10     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  213     21.20     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  214     21.30     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  215     21.40     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  216     21.50     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  217     21.60     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  218     21.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
