Pcp_File_Version=4
0
1001 1 1 1          x    h  Mat  Lay      Beta  Axz  Bxz  Dxz  Temp  Conc SConc
173   -17.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
174   -17.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
175   -17.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
176   -17.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
177   -17.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
178   -17.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
179   -17.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
180   -17.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
181   -18.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
182   -18.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
183   -18.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
184   -18.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
185   -18.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
186   -18.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
187   -18.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
188   -18.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
189   -18.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
190   -18.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
191   -19.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
192   -19.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
193   -19.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
194   -19.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
195   -19.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
196   -19.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
197   -19.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
198   -19.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
199   -19.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
200   -19.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
201   -20.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
202   -20.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
203   -20.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
204   -20.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
205   -20.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
206   -20.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
207   -20.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
208   -20.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
209   -20.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
210   -20.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
211   -21.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
212   -21.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
213   -21.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
214   -21.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
215   -21.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
216   -21.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
217   -21.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
218   -21.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
219   -21.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
220   -21.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
