  0.3186  -0.115E+01  0.6061E-01  0.1988E-02  0.1925E+01  0.2844E+00    0.9948  0.3655E-15
  0.3179  -0.145E+01  0.1616E+00  0.2267E-02  0.1788E+01  0.2524E+00    0.9926  0.1246E-14
  0.3170  -0.183E+01  0.2626E+00  0.2575E-02  0.1639E+01  0.2145E+00    0.9893  0.4220E-14
  0.3157  -0.231E+01  0.3636E+00  0.2909E-02  0.1478E+01  0.1697E+00    0.9846  0.1417E-13
  0.3138  -0.292E+01  0.4646E+00  0.3262E-02  0.1307E+01  0.1164E+00    0.9779  0.4698E-13
  0.3112  -0.368E+01  0.5657E+00  0.3620E-02  0.1130E+01  0.5305E-01    0.9685  0.1530E-12
  0.3075  -0.464E+01  0.6667E+00  0.3960E-02  0.9498E+00 -0.2235E-01    0.9554  0.4865E-12
  0.3025  -0.586E+01  0.7677E+00  0.4249E-02  0.7727E+00 -0.1120E+00    0.9375  0.1496E-11
  0.2958  -0.739E+01  0.8687E+00  0.4444E-02  0.6051E+00 -0.2182E+00    0.9137  0.4403E-11
  0.2871  -0.933E+01  0.9697E+00  0.4502E-02  0.4538E+00 -0.3431E+00    0.8827  0.1225E-10
  0.2763  -0.118E+02  0.1071E+01  0.4388E-02  0.3246E+00 -0.4887E+00    0.8438  0.3179E-10
  0.2632  -0.148E+02  0.1172E+01  0.4093E-02  0.2208E+00 -0.6560E+00    0.7970  0.7610E-10
  0.2481  -0.187E+02  0.1273E+01  0.3643E-02  0.1429E+00 -0.8451E+00    0.7433  0.1665E-09
  0.2316  -0.236E+02  0.1374E+01  0.3094E-02  0.8816E-01 -0.1055E+01    0.6843  0.3316E-09
  0.2143  -0.298E+02  0.1475E+01  0.2515E-02  0.5213E-01 -0.1283E+01    0.6226  0.6016E-09
  0.1969  -0.376E+02  0.1576E+01  0.1967E-02  0.2973E-01 -0.1527E+01    0.5605  0.9995E-09
  0.1800  -0.475E+02  0.1677E+01  0.1490E-02  0.1646E-01 -0.1783E+01    0.5002  0.1534E-08
  0.1641  -0.599E+02  0.1778E+01  0.1100E-02  0.8912E-02 -0.2050E+01    0.4433  0.2197E-08
  0.1494  -0.756E+02  0.1879E+01  0.7971E-03  0.4741E-02 -0.2324E+01    0.3908  0.2967E-08
  0.1361  -0.955E+02  0.1980E+01  0.5692E-03  0.2491E-02 -0.2604E+01    0.3432  0.3813E-08
  0.1241  -0.120E+03  0.2081E+01  0.4022E-03  0.1297E-02 -0.2887E+01    0.3005  0.4703E-08
  0.1135  -0.152E+03  0.2182E+01  0.2821E-03  0.6706E-03 -0.3174E+01    0.2626  0.5607E-08
  0.1042  -0.192E+03  0.2283E+01  0.1968E-03  0.3452E-03 -0.3462E+01    0.2292  0.6500E-08
  0.0959  -0.242E+03  0.2384E+01  0.1368E-03  0.1771E-03 -0.3752E+01    0.1998  0.7364E-08
  0.0887  -0.305E+03  0.2485E+01  0.9484E-04  0.9070E-04 -0.4042E+01    0.1740  0.8184E-08
  0.0824  -0.385E+03  0.2586E+01  0.6563E-04  0.4636E-04 -0.4334E+01    0.1515  0.8951E-08
  0.0769  -0.486E+03  0.2687E+01  0.4537E-04  0.2368E-04 -0.4626E+01    0.1319  0.9660E-08
  0.0721  -0.614E+03  0.2788E+01  0.3133E-04  0.1208E-04 -0.4918E+01    0.1148  0.1031E-07
  0.0680  -0.774E+03  0.2889E+01  0.2162E-04  0.6161E-05 -0.5210E+01    0.0999  0.1090E-07
  0.0643  -0.977E+03  0.2990E+01  0.1492E-04  0.3141E-05 -0.5503E+01    0.0869  0.1143E-07
  0.0612  -0.123E+04  0.3091E+01  0.1029E-04  0.1601E-05 -0.5796E+01    0.0756  0.1191E-07
  0.0584  -0.156E+04  0.3192E+01  0.7095E-05  0.8159E-06 -0.6088E+01    0.0657  0.1234E-07
  0.0560  -0.196E+04  0.3293E+01  0.4891E-05  0.4157E-06 -0.6381E+01    0.0572  0.1272E-07
  0.0539  -0.248E+04  0.3394E+01  0.3372E-05  0.2118E-06 -0.6674E+01    0.0497  0.1306E-07
  0.0521  -0.313E+04  0.3495E+01  0.2325E-05  0.1079E-06 -0.6967E+01    0.0433  0.1336E-07
  0.0505  -0.394E+04  0.3596E+01  0.1602E-05  0.5498E-07 -0.7260E+01    0.0376  0.1362E-07
  0.0492  -0.498E+04  0.3697E+01  0.1105E-05  0.2801E-07 -0.7553E+01    0.0327  0.1385E-07
  0.0480  -0.628E+04  0.3798E+01  0.7614E-06  0.1427E-07 -0.7846E+01    0.0285  0.1405E-07
  0.0469  -0.792E+04  0.3899E+01  0.5248E-06  0.7269E-08 -0.8139E+01    0.0248  0.1423E-07
  0.0460  -0.100E+05  0.4000E+01  0.3617E-06  0.3703E-08 -0.8431E+01    0.0215  0.1439E-07
end


 Solute transport information
 ============================

 Galerkin finite-element method


 lTDep     lWDep     cTolA     cTolR   MaxItC
  F        0    0.000E+00    0.0000      0


 Mat.     Bulk.D.    DispL    Fraction  Immobile WC
  1       1.5000   10.0000    1.0000    0.0000

    Dif.w.      Dif.g.   -------------------------------------------------- ( 1.solute)
  0.6800E-01  0.0000E+00
 Mat.     KS         Nu         Beta      Henry      SinkL1     SinkS1     SinkG1     SinkL1`    SinkS1`    SinkG1`    SinkL0     SinkS0     SinkG0      Alfa
   1 0.0000E+00 0.0000E+00 0.1000E+01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00

 No adsorption or linear adsorp. isotherm for material  1

 kTopCh      cTop(1...NS)
  -1        0.000E+00

 kBotCh      cBot(1...NS)
   0        0.000E+00

 tPulse =             1.000
